"","id_men","id_pers","id_depl","heuredep","mindep","heurearr","minarr","D12","motifor","NB_velo","VP_DISPO","duree","motifor1","deptime","arrtime","midtime","heuremid","nb_veh","cluster","rhour"
"1",101012,101012001,1010120011,14,0,14,5,290,1,1,0,5,"DOM",2024-02-01 14:00:00,2024-02-01 14:05:00,2024-02-01 14:02:30,14,1,"3",0
"2",101012,101012001,1010120012,14,35,14,40,290,32,1,0,5,"SHO",2024-02-01 14:35:00,2024-02-01 14:40:00,2024-02-01 14:37:30,14,1,"3",0
"3",101012,101012001,1010120013,14,45,15,5,1159,1,1,0,20,"DOM",2024-02-01 14:45:00,2024-02-01 15:05:00,2024-02-01 14:55:00,14,1,"3",0
"4",101012,101012001,1010120014,15,10,15,30,1159,42,1,0,20,"SHO",2024-02-01 15:10:00,2024-02-01 15:30:00,2024-02-01 15:20:00,15,1,"3",0
"5",101012,101012001,1010120015,20,45,21,10,1449,1,1,0,25,"DOM",2024-02-01 20:45:00,2024-02-01 21:10:00,2024-02-01 20:57:30,20,1,"3",0
"6",101012,101012001,1010120016,0,30,0,55,1449,53,1,0,25,"LEI",2024-02-01 00:30:00,2024-02-01 00:55:00,2024-02-01 00:42:30,0,1,"3",0
"7",101018,101018001,1010180011,8,30,8,50,14491,1,2,1,20,"DOM",2024-02-01 08:30:00,2024-02-01 08:50:00,2024-02-01 08:40:00,8,3,"1",1
"8",101018,101018001,1010180012,19,0,19,30,14491,11,2,1,30,"DOM",2024-02-01 19:00:00,2024-02-01 19:30:00,2024-02-01 19:15:00,19,3,"1",0
"9",101018,101018002,1010180021,15,45,16,0,2421,1,2,1,15,"DOM",2024-02-01 15:45:00,2024-02-01 16:00:00,2024-02-01 15:52:30,15,3,"1",0
"10",101018,101018002,1010180022,17,0,17,15,2421,41,2,1,15,"SHO",2024-02-01 17:00:00,2024-02-01 17:15:00,2024-02-01 17:07:30,17,3,"1",1
"11",101019,101019001,1010190011,9,45,10,0,870,1,6,1,15,"DOM",2024-02-01 09:45:00,2024-02-01 10:00:00,2024-02-01 09:52:30,9,7,"2",1
"12",101019,101019001,1010190012,10,30,10,45,870,43,6,1,15,"SHO",2024-02-01 10:30:00,2024-02-01 10:45:00,2024-02-01 10:37:30,10,7,"2",0
"13",101019,101019001,1010190013,10,50,10,55,290,33,6,1,5,"SHO",2024-02-01 10:50:00,2024-02-01 10:55:00,2024-02-01 10:52:30,10,7,"2",0
"14",101019,101019001,1010190014,15,45,15,58,753,1,6,1,13,"DOM",2024-02-01 15:45:00,2024-02-01 15:58:00,2024-02-01 15:51:30,15,7,"2",0
"15",101019,101019001,1010190015,16,5,16,25,3138,42,6,1,20,"SHO",2024-02-01 16:05:00,2024-02-01 16:25:00,2024-02-01 16:15:00,16,7,"2",1
