,t,t+1
1,356.0,386.0
2,386.0,397.0
3,397.0,397.0
4,397.0,413.0
5,413.0,458.0
6,458.0,485.0
7,485.0,344.0
8,344.0,390.0
9,390.0,360.0
10,360.0,420.0
11,420.0,435.0
12,435.0,439.0
13,439.0,454.0
14,454.0,462.0
15,462.0,454.0
16,454.0,469.0
17,469.0,500.0
18,500.0,492.0
19,492.0,473.0
20,473.0,458.0
21,458.0,469.0
22,469.0,481.0
23,481.0,488.0
24,488.0,466.0
25,466.0,462.0
26,462.0,473.0
27,473.0,530.0
28,530.0,662.0
29,662.0,651.0
30,651.0,587.0
31,587.0,515.0
32,515.0,526.0
33,526.0,503.0
34,503.0,503.0
35,503.0,503.0
36,503.0,515.0
37,515.0,522.0
38,522.0,492.0
39,492.0,503.0
40,503.0,503.0
41,503.0,450.0
42,450.0,432.0
43,432.0,432.0
44,432.0,458.0
45,458.0,462.0
46,462.0,503.0
47,503.0,488.0
48,488.0,466.0
49,466.0,492.0
50,492.0,503.0
51,503.0,515.0
52,515.0,500.0
53,500.0,522.0
54,522.0,575.0
55,575.0,583.0
56,583.0,587.0
57,587.0,628.0
58,628.0,640.0
59,640.0,609.0
60,609.0,606.0
61,606.0,632.0
62,632.0,617.0
63,617.0,613.0
